NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP	GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP		19	0.37209427	0.9635301	0.56548226	1.0	1.0	1010	tags=42%, list=32%, signal=62%	
GSE17721_CTRL_VS_CPG_24H_BMDC_UP	GSE17721_CTRL_VS_CPG_24H_BMDC_UP		36	0.33802882	0.9634541	0.568	1.0	1.0	1010	tags=33%, list=32%, signal=48%	
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_3H_UP	GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_3H_UP		20	0.3705093	0.9633317	0.54923856	1.0	1.0	541	tags=20%, list=17%, signal=24%	
GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_DN	GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_DN		36	0.34123006	0.9632443	0.5745746	1.0	1.0	234	tags=14%, list=7%, signal=15%	
GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP	GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP		30	0.34602696	0.9631638	0.582495	1.0	1.0	1300	tags=57%, list=41%, signal=95%	
GSE17721_LPS_VS_CPG_6H_BMDC_UP	GSE17721_LPS_VS_CPG_6H_BMDC_UP		35	0.33858603	0.9627052	0.5745746	1.0	1.0	1162	tags=43%, list=37%, signal=67%	
GSE34217_MIR17_92_OVEREXPRESS_VS_WT_ACT_CD8_TCELL_DN	GSE34217_MIR17_92_OVEREXPRESS_VS_WT_ACT_CD8_TCELL_DN		23	0.35451147	0.9626778	0.54848486	1.0	1.0	429	tags=22%, list=14%, signal=25%	
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP	GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP		66	0.3229988	0.9623866	0.593	1.0	1.0	1503	tags=59%, list=48%, signal=110%	
GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_8D_CULTURE_UP	GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_8D_CULTURE_UP		23	0.35517016	0.9623474	0.5646465	1.0	1.0	1217	tags=48%, list=39%, signal=77%	
GSE7768_OVA_WITH_LPS_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_UP	GSE7768_OVA_WITH_LPS_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_UP		35	0.34148747	0.96226144	0.5742972	1.0	1.0	1210	tags=46%, list=38%, signal=73%	
